"Week_ending_friday","Week_number","Dubai_crude_USD.p.bbl","NZ_US_exrate","Dubai_crude_NZD.p.bbl","Diesel_importer_cost_NZc.p.l","Diesel_ETS_NZc.p.l","Diesel_GST_NZc.p.l","Diesel_taxes_NZc.p.l","Diesel_price_excl_taxes_NZc.p.l","Diesel_main_port_price_NZc.p.l","Diesel_discounted_retail_price_NZc.p.l","Diesel_importer_margin_NZc.p.l","Diesel_margin_trend_NZc.p.l","Petrol_importer_cost_NZc.p.l","Petrol_ETS_NZc.p.l","Petrol_GST_NZc.p.l","Petrol_taxes_NZc.p.l","Petrol_price_excl_taxes_NZc.p.l","Petrol_main_port_price_NZc.p.l","Petrol_discounted_retail_price_NZc.p.l","Petrol_importer_margin_NZc.p.l","Petrol_margin_trend_NZc.p.l","Diesel_main_port_price_excl_taxes_NZc.p.l"
2005-01-28,"2005w04",40.35,0.714,56.5,48.7,0,8.7,9,68.9,77.9,77.9,21.1,18.1988169982991,48.5,0,13.1,55.1,63.1,118.2,118.2,14.7,12.6771766639928,68.9
2005-02-04,"2005w05",38.79,0.711,54.53,49.1,0,8.7,9,68.9,77.9,77.9,19.3,18.164148360632,49.1,0,13.2,55.2,63.7,118.9,118.9,14.6,12.6348393720033,68.9
2005-02-11,"2005w06",38.2,0.705,54.21,48.7,0,8.5,8.8,67.4,76.2,76.2,18.6,18.1294797229649,51.7,0,13.1,55,62.6,117.6,117.6,14,12.5925020800137,67.4
2005-02-18,"2005w07",39.4,0.715,55.09,51.7,0,8.4,8.7,66.5,75.2,75.2,17.3,18.0948110852979,54.7,0,12.9,54.9,61.6,116.5,116.5,12.4,12.5501647880242,66.5
2005-02-25,"2005w08",41,0.724,56.65,55.8,0,8.5,8.9,68,76.9,76.9,19.3,18.0601424476308,54.7,0,13.2,55.2,64,119.2,119.2,12.3,12.5078274960346,68
2005-03-04,"2005w09",42.9,0.726,59.11,55.8,0,8.6,9,68.8,77.8,77.8,17.1,18.0254738099637,55.7,0,13.4,55.3,64.9,120.2,120.2,10.2,12.4654902040451,68.8
2005-03-11,"2005w10",44.66,0.737,60.59,57.8,0,9.3,9.6,73.8,83.5,83.5,18.1,17.9908051722967,54.5,0,13.5,55.5,66.4,121.9,121.9,11.7,12.4231529120555,73.9
2005-03-18,"2005w11",46.21,0.741,62.36,58.6,0,9.7,10,76.9,86.9,86.9,21.1,17.9561365346296,55.3,0,13.6,55.5,66.6,122.2,122.2,10.9,12.380815620066,76.9
2005-03-25,"2005w12",47.58,0.73,65.16,60.8,0,9.4,9.8,75,84.8,84.8,17.2,17.9214678969625,57.4,0,13.5,55.5,66.3,121.8,121.8,11.8,12.3384783280764,75
2005-04-01,"2005w13",46.77,0.709,65.95,63.5,0,9.8,10.1,77.7,87.8,87.8,18.9,17.8582323575233,61.2,0,13.9,55.8,68.9,124.7,124.7,12.7,12.3066799940894,77.7
