"Week_ending_friday","Week_number","Dubai_crude_USD.p.bbl","NZ_US_exrate","Dubai_crude_NZD.p.bbl","Diesel_importer_cost_NZc.p.l","Diesel_ETS_NZc.p.l","Diesel_GST_NZc.p.l","Diesel_taxes_NZc.p.l","Diesel_price_excl_taxes_NZc.p.l","Diesel_main_port_price_NZc.p.l","Diesel_discounted_retail_price_NZc.p.l","Diesel_importer_margin_NZc.p.l","Diesel_margin_trend_NZc.p.l","Petrol_importer_cost_NZc.p.l","Petrol_ETS_NZc.p.l","Petrol_GST_NZc.p.l","Petrol_taxes_NZc.p.l","Petrol_price_excl_taxes_NZc.p.l","Petrol_main_port_price_NZc.p.l","Petrol_discounted_retail_price_NZc.p.l","Petrol_importer_margin_NZc.p.l","Petrol_margin_trend_NZc.p.l","Diesel_main_port_price_excl_taxes_NZc.p.l"
2013-03-08,"2013w09",105.72,0.82786,127.702751672988,102.6067819124,0.9345,19.4047619047619,19.7797619047619,128.055579365079,153.614285714286,148.769841269841,25.4487974526789,24.8315157433884,100.478521396413,0.8085,27.9606625258799,89.0896625258799,124.466916839199,220.042857142857,214.365079365079,23.9883954427864,22.3034917410843,132.268139751553
2013-03-15,"2013w10",105.26,0.82276,127.935242355,102.335665724784,0.9345,19.1811594202899,19.5561594202899,126.564896135266,151.9,147.055555555556,24.229230410482,24.8583913686204,100.065021831431,0.8085,27.8115942028986,88.9405942028986,123.473128019324,218.9,213.222222222222,23.4081061878927,22.3638689013459,130.777456521739
2013-03-22,"2013w11",104.55,0.82666,126.472794135437,101.253220420912,0.93,19.1811594202899,19.5561594202899,126.569396135266,151.9,147.055555555556,25.3161757143541,24.8949430629785,99.3500119014734,0.8085,27.6997929606625,88.8287929606625,122.727786404417,218.042857142857,212.365079365079,23.3777745029434,22.425212873771,130.781956521739
2013-03-29,"2013w12",105.68,0.8365,126.335923490735,98.7540840577284,0.9345,19.1811594202899,19.5561594202899,126.564896135266,151.9,147.055555555556,27.8108120775372,24.9314947573366,97.4957115996883,0.8085,27.5507246376812,88.6797246376812,121.733997584541,216.9,211.222222222222,24.2382859848528,22.4865568461962,130.777456521739
2013-04-05,"2013w13",105.7,0.840775,125.717344117035,99.3588843508293,0.9345,19.0767319636885,19.4517319636885,125.868713091257,151.042857142857,146.254945054945,26.5098287404273,24.9680464516947,96.6090672791123,0.8085,27.4487816531295,88.5777816531295,121.05437768753,215.614285714286,210.440659340659,24.4453104084177,22.5479008186213,130.032114906832
2013-04-12,"2013w14",102.6,0.85226,120.385797761247,95.3945852303705,0.9345,18.592259913999,18.967259913999,122.63889942666,147.328571428571,142.540659340659,27.2443141962898,25.0045981460528,89.7870774554885,0.8085,26.8897754419494,88.0187754419494,117.327669612996,211.328571428571,206.154945054945,27.5405921575072,22.6092447910465,126.802301242236
2013-04-19,"2013w15",97.64,0.84776,115.174105879022,91.0346798945202,0.9345,17.9959866220736,18.3709866220736,118.663744147157,142.757142857143,137.969230769231,27.629064252637,25.0411498404109,86.7732212246908,0.8085,26.2189679885332,87.3479679885332,112.855619923555,206.185714285714,201.012087912088,26.0823986988639,22.6705887634716,122.827145962733
2013-04-26,"2013w16",99.69,0.844425,118.056665778488,92.1292760090129,0.9345,17.8841853798376,18.2591853798376,117.91840253225,141.9,137.112087912088,25.7891265232374,25.077701534769,88.7085737392336,0.8085,26.0512661251792,87.1802661251792,111.737607501194,204.9,199.726373626374,23.0290337619609,22.7319327358967,122.081804347826
2013-05-03,"2013w17",100.36,0.85274,117.691207167484,91.4545150665945,0.9345,17.8841853798376,18.2591853798376,117.91840253225,141.9,137.112087912088,26.4638874656558,25.1142532291272,87.8300824097976,0.8085,26.0512661251792,87.1802661251792,111.737607501194,204.9,199.726373626374,23.9075250913969,22.7932767083219,122.081804347826
2013-05-10,"2013w18",101.15,0.84746,119.356665801336,93.6712987625772,0.9345,17.8841853798376,18.2591853798376,117.91840253225,141.9,137.112087912088,24.2471037696732,25.1508049234853,89.9409215535633,0.8085,26.0512661251792,87.1802661251792,111.737607501194,204.9,199.726373626374,21.7966859476311,22.854620680747,122.081804347826
