"Week_ending_friday","Week_number","Dubai_crude_USD.p.bbl","NZ_US_exrate","Dubai_crude_NZD.p.bbl","Diesel_importer_cost_NZc.p.l","Diesel_ETS_NZc.p.l","Diesel_GST_NZc.p.l","Diesel_taxes_NZc.p.l","Diesel_price_excl_taxes_NZc.p.l","Diesel_main_port_price_NZc.p.l","Diesel_discounted_retail_price_NZc.p.l","Diesel_importer_margin_NZc.p.l","Diesel_margin_trend_NZc.p.l","Petrol_importer_cost_NZc.p.l","Petrol_ETS_NZc.p.l","Petrol_GST_NZc.p.l","Petrol_taxes_NZc.p.l","Petrol_price_excl_taxes_NZc.p.l","Petrol_main_port_price_NZc.p.l","Petrol_discounted_retail_price_NZc.p.l","Petrol_importer_margin_NZc.p.l","Petrol_margin_trend_NZc.p.l","Diesel_main_port_price_excl_taxes_NZc.p.l"
2010-01-15,"2010w02",78.32,0.74054,105.760661139169,79.6036510013336,0,12.2934744268078,12.6684744268078,97.9727954144621,112.185714285714,110.64126984127,18.3691444131285,16.6007032918025,81.5623984676395,0,19.1567901234568,75.2857901234568,97.1253209876543,173.9,172.411111111111,15.5629225200148,14.6688407573324,99.3456349206349
2010-01-22,"2010w03",75.36,0.72808,103.505109328645,77.6632433092717,0,12.2458553791887,12.6208553791887,97.5918430335097,111.757142857143,110.212698412698,19.928599724238,16.6777155227192,80.6966030994154,0,19.1409171075838,75.2699171075838,96.9983368606702,173.757142857143,172.268253968254,16.3017337612548,14.7562153777654,98.9646825396825
2010-01-29,"2010w04",72.56,0.70886,102.361538244505,76.5850434072269,0,12.1506172839506,12.5256172839506,96.8299382716049,110.9,109.355555555556,20.2448948643781,16.7547277536359,81.6550985307887,0,19.0456790123457,75.1746790123457,96.2364320987654,172.9,171.411111111111,14.5813335679767,14.8435899981983,98.2027777777778
2010-02-05,"2010w05",73.12,0.70224,104.123946229209,77.9028697665298,0,12.1506172839506,12.5256172839506,96.8299382716049,110.9,109.355555555556,18.9270685050751,16.8317399845527,83.3234222222024,0,19.0456790123457,75.1746790123457,96.2364320987654,172.9,171.411111111111,12.913009876563,14.9309646186313,98.2027777777778
2010-02-12,"2010w06",70.92,0.69154,102.553720681378,77.9467170576587,0,12.1506172839506,12.5256172839506,96.8299382716049,110.9,109.355555555556,18.8832212139462,16.9087522154694,81.2697813147841,0,19.0456790123457,75.1746790123457,96.2364320987654,172.9,171.411111111111,14.9666507839813,15.0183392390643,98.2027777777778
2010-02-19,"2010w07",75.71,0.70002,108.15405274135,79.8443827657384,0,12.1506172839506,12.5256172839506,96.8299382716049,110.9,109.355555555556,16.9855555058665,16.9857644463861,83.1313855903448,0,19.0456790123457,75.1746790123457,96.2364320987654,172.9,171.411111111111,13.1050465084206,15.1057138594972,98.2027777777778
2010-02-26,"2010w08",75.72,0.69588,108.811864114502,81.9653361516202,0,12.1506172839506,12.5256172839506,96.8299382716049,110.9,109.355555555556,14.8646021199848,17.0448336040189,85.3123726853109,0,19.0456790123457,75.1746790123457,96.2364320987654,172.9,171.411111111111,10.9240594134545,15.1617345874469,98.2027777777778
2010-03-05,"2010w09",76.98,0.69508,110.749841744835,83.0884473293438,0,12.2776014109347,12.6526014109347,97.845811287478,112.042857142857,110.498412698413,14.7573639581341,17.1039027616517,86.4832284165658,0,19.363139329806,75.492139329806,98.776114638448,175.757142857143,174.268253968254,12.2928862218821,15.2177553153965,99.2186507936508
2010-03-12,"2010w10",78.08,0.70078,111.418704871714,84.307663960068,0,12.6109347442681,12.9859347442681,100.512477954145,115.042857142857,113.498412698413,16.2048139940766,17.1629719192845,88.1027138126618,0,19.8393298059965,75.9683298059965,102.585638447972,180.042857142857,178.553968253968,14.48292463531,15.2737760433462,101.885317460317
2010-03-19,"2010w11",77.13,0.70932,108.737946201996,82.9743682082093,0,12.7061728395062,13.0811728395062,101.274382716049,115.9,114.355555555556,18.3000145078401,17.2220410769174,86.4741049591429,0,19.9345679012346,76.0635679012346,103.347543209877,180.9,179.411111111111,16.8734382507337,15.3297967712958,102.647222222222
2010-03-26,"2010w12",77.27,0.7052,109.571752694271,82.8388504129269,0,12.7061728395062,13.0811728395062,101.274382716049,115.9,114.355555555556,18.4355323031224,17.2811102345502,85.4576649755002,0,19.9345679012346,76.0635679012346,103.347543209877,180.9,179.411111111111,17.8898782343763,15.3858174992454,102.647222222222
2010-04-02,"2010w13",79.27,0.708425,111.896107562551,84.1108611168097,0,12.6931565788709,13.0681565788709,101.170252630967,115.9,114.238409209838,17.0593915141573,17.340179392183,85.9875987101813,0,19.5976335833479,75.7266335833479,100.652068666783,178.042857142857,176.378702250131,14.6644699566017,15.4418382271951,102.647222222222
2010-04-09,"2010w14",82.82,0.706125,117.288015577978,89.6682614863712,0,12.8738705738706,13.2488705738706,102.615964590965,117.614285714286,115.864835164835,12.9477031045934,17.3992485498158,88.8565595225002,0,19.7258852258852,75.8548852258852,101.678081807082,179.328571428571,177.532967032967,12.8215222845816,15.4978589551447,104.171031746032
2010-04-16,"2010w15",83.71,0.7138,117.27374614738,88.7511563096831,0,13.0167277167277,13.3917277167277,103.758821733822,118.9,117.150549450549,15.0076654241387,17.4583177074486,87.3690344705526,0,20.0115995115995,76.1405995115995,103.963796092796,181.9,180.104395604396,16.5947616222435,15.5538796830943,105.313888888889
2010-04-23,"2010w16",83.26,0.7094,117.366788835636,88.5950823200982,0,13.0167277167277,13.3917277167277,103.758821733822,118.9,117.150549450549,15.1637394137235,17.4874356867475,86.9613930703321,0,20.0115995115995,76.1405995115995,103.963796092796,181.9,180.104395604396,17.002403022464,15.5830403699858,105.313888888889
2010-04-30,"2010w17",84.63,0.71922,117.669141570034,89.5224033602277,0,13.254822954823,13.629822954823,105.663583638584,121.042857142857,119.293406593407,16.1411802783559,17.5165536660464,87.4908266669924,0,20.0115995115995,76.1405995115995,103.963796092796,181.9,180.104395604396,16.4729694258037,15.6122010568773,107.218650793651
2010-05-07,"2010w18",81.09,0.72328,112.114257272426,88.7884423628716,0,13.3500610500611,13.7250610500611,106.425488400488,121.9,120.150549450549,17.6370460376168,17.5456716453453,84.9404123880685,0,20.0115995115995,76.1405995115995,103.963796092796,181.9,180.104395604396,19.0233837047276,15.6413617437687,107.980555555556
2010-05-14,"2010w19",79.5,0.71622,110.999413588004,86.2600497357757,0,13.3500610500611,13.7250610500611,106.425488400488,121.9,120.150549450549,20.1654386647127,17.5747896246441,81.5461909567083,0,19.5671550671551,75.6961550671551,100.408240537241,177.9,176.104395604396,18.8620495805323,15.6705224306602,107.980555555556
2010-05-21,"2010w20",72.43,0.68882,105.150837664412,83.014435885001,0,13.1595848595849,13.5345848595849,104.901678876679,120.185714285714,118.436263736264,21.8872429916779,17.603907603943,80.0302083901497,0,19.3766788766789,75.5056788766789,98.884431013431,176.185714285714,174.39010989011,18.8542226232813,15.6996831175516,106.456746031746
2010-05-28,"2010w21",70.14,0.67286,104.241595577089,81.7021517863178,0,12.8738705738706,13.2488705738706,102.615964590965,117.614285714286,115.864835164835,20.9138128046468,17.6330255832419,78.4408898450265,0,19.1544566544567,75.2834566544566,97.1066532356532,174.185714285714,172.39010989011,18.6657633906267,15.7288438044431,104.171031746032
